,Acceleration x,Acceleration y,Acceleration z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,La,Lo,He,V,D,Ho,VA,Magnetic field x,Magnetic field y,Magnetic field z,Tijdstempel,ID,Date,Time,hate-enjoy,bored-interested,absorbed,tiring-energizing,depressed-happy,bad-good_physically,sense_accomplishment,Weather,Temperature (Celsius),UV index,Wind (m/s),Humidity (%),datetime
0,0.7028671890721514,-8.655044435188202,1.6941020692122173,-0.07784595921360518,-0.004040345114594201,0.05018675400968404,0.0029289850483318076,-0.001418198173788094,-0.009084941055847704,52.28987410703267,4.98241897954218,-0.9139918648588395,0.9839707369459316,78.07154568706359,4.88960528700577,4.88960528700577,-18.219812793891972,37.99572872375109,1.0822731494729345,2023-06-08 19:01:42.596,1,2023-06-08,18:55:00,4,3,3,3,4,4,4,Sunny,22,1,6,54,2023-06-08 18:55:00
1,0.01180433214903898,1.7368501604404891,9.384509465670362,0.02807335061042457,-0.13044083578948143,-0.08725202103887483,-0.0022927175199791722,0.0039254227974791405,0.0020893861021229368,52.39765259521886,4.903467236413084,2.349391981996511,0.9610376078540103,121.19464386084492,6.329042326444364,6.329042326444364,-13.395682186775325,-16.999377845453555,-39.311601545481984,2023-06-09 11:04:28.147,2,2023-06-09,11:02:00,1,1,1,2,3,3,2,Sunny,21,5,16,63,2023-06-09 11:02:00
2,0.4510139109871605,-8.232212748961016,2.4443963024832986,-0.042038159609219944,0.10631517437804337,0.06302397545622163,0.0032972637502247416,-0.0055899861888968816,-0.01735502109036205,52.303649778694776,4.988389128198383,-1.5559389396519676,0.8047682683366093,287.4041231392749,5.627873162113873,5.627873162113873,8.711118530851058,40.930050534630425,-6.29661189419238,2023-06-08 19:52:18.003,1,2023-06-08,19:48:00,3,3,4,2,4,3,5,Sunny,20,0,6,56,2023-06-08 19:48:00
3,1.1686961024389437,-7.865531654415172,1.771183766273721,-0.0643869029237005,0.048363390206690844,0.04697492318236281,-0.0008382281320956814,0.006485330836288463,-0.014112911151534669,52.29253440066743,4.970294716575788,-0.9657997953240127,0.780234165952685,154.1821227721084,9.044856998053554,9.044856998053554,-13.87706679816574,32.6550688435631,-20.71267184082471,2023-06-08 18:33:30.540,1,2023-06-08,18:25:00,4,4,4,4,4,4,4,Sunny,22,1,7,54,2023-06-08 18:25:00
4,0.9798388953657516,-8.61902546211877,1.704625347739372,0.17596995190833434,-0.23531360921995956,-0.12159023389728327,-0.007529940672347706,-0.011329180440388551,-0.05626751517199763,52.3605649165289,4.92315580437725,-0.45568091180538844,0.8514291192681175,179.6071415200266,6.533682936980185,6.533682936980185,-5.799155523268358,37.05450730992099,0.034317776312245224,2023-06-09 20:28:05.778,1,2023-06-09,20:22:00,4,4,3,3,4,3,4,Sunny,26,0,5,46,2023-06-09 20:22:00
5,-0.26855699330218746,2.990168361601938,9.152643346555637,0.007307496548117282,-0.10809462657195057,-0.07767844565720342,-0.00441310011388026,0.007072700760968188,0.005315372670331511,52.401459116508704,4.892231535601139,1.8355179165962894,1.1982175737103495,119.75883037388454,11.025785216675805,11.025785216675805,-6.66442333161459,-18.26545234472638,-37.29137844393192,2023-06-09 10:52:15.511,2,2023-06-09,10:48:00,3,2,1,2,2,4,1,Sunny,21,5,16,64,2023-06-09 10:48:00
6,-0.757004257320148,-6.894756564605403,3.2159608042787506,-0.1947647717938589,-0.05509867778667225,0.13369303070135724,0.00947482576764848,-0.010822911357510711,-0.015671735090726537,52.29461446595057,4.987813194227038,-0.2823502311820478,0.9360383166453207,89.58869453384436,5.300580469931526,5.300580469931526,-17.977172447685923,29.23568887182673,-19.20834027484675,2023-06-08 19:22:01.636,1,2023-06-08,19:15:00,3,2,3,2,3,3,4,Sunny,21,1,6,55,2023-06-08 19:15:00
7,-5.862410853881836,-1.342075739135742,6.785700596313476,-0.6916132902148366,-0.42111268856436024,0.6836025950865076,0.00515705189998779,-0.025388343176287083,0.0016105931006055066,52.296639720820984,4.972398750969066,-0.591111394379993,0.991417890252472,236.01139902146315,9.457750040587989,9.457750040587989,29.223193806966147,-5.35407867940267,-20.673321404351128,2023-06-08 20:22:40.298,1,2023-06-08,20:18:00,2,2,2,1,3,2,3,Sunny,20,0,6,54,2023-06-08 20:18:00
8,-3.3662559506405914,-1.0217356585989692,8.460390888654878,-0.2904076057461235,-0.164554098102107,0.26323873352136673,0.0016847330924678952,-0.0035652290066153286,-0.014520196907449053,52.30195231344816,4.9861061679934995,1.1067955476175855,0.6767470175627163,207.26863125774878,5.513370043144038,5.513370043144038,15.862928873085114,-2.3224845532193243,-37.25781012155924,2023-06-08 20:02:18.563,1,2023-06-08,19:58:00,2,2,3,1,3,3,3,Sunny,20,0,6,56,2023-06-08 19:58:00
9,-0.3703892199286099,-7.319826377184637,2.8566302275559,-0.1677966444239518,-0.05319643423778231,0.0278745959543912,0.010338497036083163,-0.016029690857147047,-0.0028205552301971758,52.2927660946548,4.982337278397158,-0.772790365016781,0.8271578167941901,192.68562460817017,6.095540587970439,6.095540587970439,-5.792424481271327,36.16215704841175,-2.2160901861081177,2023-06-08 19:11:52.636,1,2023-06-08,19:05:00,4,3,3,2,3,3,4,Sunny,22,1,6,54,2023-06-08 19:05:00
