,ID,datetime,Acceleration x,Acceleration y,Acceleration z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,La,Lo,He,V,D,Ho,VA,Magnetic field x,Magnetic field y,Magnetic field z,Weather,Temperature (Celsius),UV index,Wind (m/s),Humidity (%),hate-enjoy,notpleasant_pleasant,notpleasurable_pleasurable,bad-good_feeling
364,1.0,2023-06-08 19:17:10.854672,0.4964336608886719,-4.506022677612305,5.173745141601563,-0.0017794699832797002,0.05255629163682462,-0.042985048654675506,0.16414346240460873,-0.17233732561580836,0.1373741168156266,52.294703886746866,4.988265529381067,-0.6701489597558975,0.8505955421581628,86.06582574522788,4.904170599372612,4.904170599372612,-22.064372253417968,25.007931995391846,-24.04513153076172,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
365,1.0,2023-06-08 19:17:15.854672,-5.828950634765626,-4.661088217163086,5.333720471191407,-0.31780906820744276,-0.46816881099343305,0.4272209995150566,-0.2250986370071769,0.17975819871760904,-0.16153793146833778,52.29471285439755,4.988368894189916,-0.9194450460374355,1.0924054981788989,74.17194553246345,4.8647211380159705,4.8647211380159705,13.776166534423828,29.570881252288817,-29.368345947265624,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
366,1.0,2023-06-08 19:17:20.854672,2.4268912536621094,-9.459186520385744,-0.08709787902832034,-0.051433146759867654,0.3031100582957268,-0.002268966718018053,-0.030716934138908983,-0.065735589787364,-0.07169715845957399,52.294700781788286,4.988454161347599,-0.7945427184924483,0.5198403127042266,95.83592385959864,4.860723484295575,4.860723484295575,-30.198118896484374,38.324790420532224,-7.381549072265625,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
367,1.0,2023-06-08 19:17:25.854672,1.5829851654052733,-9.409409033203126,0.8278864013671875,-0.2575814633740454,0.10446510187217165,0.40393188970315524,0.13319382647394526,-0.09500328668070082,0.020290542260876725,52.29469292885834,4.988514435324332,-1.0669120656326414,0.16837007826669514,107.10617567683002,4.86875494598978,4.86875494598978,-27.363699465381856,32.73557246461206,-5.690224160953444,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
368,1.0,2023-06-08 19:17:30.854672,1.4332817202198262,-9.572077415622012,0.36558262416294646,0.11654254501461983,0.40526861068010334,-0.1812051392488182,0.021350543228909374,-0.03278562247753143,-0.03841225894168019,52.29469085703422,4.98860178941066,-1.161438736319542,1.0659069390909588,94.32034481791757,4.845893577653918,4.845893577653918,-32.50651947021484,35.81108757019043,-6.265843200683594,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
369,1.0,2023-06-08 19:17:35.854672,1.3721246520996093,-9.591592181396486,1.451899758911133,-0.01994408514350653,-0.40272941050529487,0.49910850294493153,0.07138592466711997,0.11999783573672175,0.010110790673643351,52.29468597261014,4.988711265076299,-1.1737218007445336,1.1779050748575655,87.75914454840233,4.801777249347234,4.801777249347234,-27.93483642578125,36.70082191467285,-5.397518005371094,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
370,1.0,2023-06-08 19:17:40.854672,1.1943603149414064,-9.712786157226564,1.012527438354492,0.12208683396577837,0.2929428144693375,0.03246395107135176,-0.04436548337340355,0.06439096136018634,-0.0340886574331671,52.294682835149885,4.988792811006303,-0.878927424736321,0.814113171677348,88.65997165241313,4.821295047722885,4.821295047722885,-29.807034912109376,34.56766384124756,-11.990391845703124,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
371,1.0,2023-06-08 19:17:45.854672,1.07996220703125,-9.68632717895508,1.6427259338378906,0.05792214037701481,0.19283237800598146,-0.03905797529965644,0.07510695394128561,-0.06871024755761028,-0.03444757266901433,52.29467003858779,4.988853128408348,-0.42252511177212,0.081186727468598,103.93074173418108,4.864915869441668,4.864915869441668,-24.416873168945312,38.99014221191406,-18.68719970703125,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
372,1.0,2023-06-08 19:17:50.854672,0.8963929412841797,-9.450531518554689,1.6562877319335936,-0.09615157618224622,-0.14261477090120317,0.36671291047409177,0.03062660150229931,-0.15928543959744274,-0.03440609913319349,52.29466279909226,4.988903023811231,-0.23187978528439998,0.954106746369925,97.21869188667378,5.5418515583687595,5.5418515583687595,-28.384880981445313,37.63285285949707,-14.980086669921874,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
373,1.0,2023-06-08 19:17:55.854672,1.0167097412109376,-9.684653659057618,1.4249827331542968,-0.05235959276407958,0.019646492564678205,0.12894969635903833,-0.054772126618772746,0.05760274238884449,-0.05157364597544074,52.29465038400821,4.988989372808638,-0.026647540740668774,1.1727662017729314,103.54906801218313,7.156572340162117,7.156572340162117,-30.465088806152345,36.27940788269043,-12.798603515625,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
374,1.0,2023-06-08 19:18:00.854672,0.7611821136474609,-9.493549063110352,1.3147190277099612,-0.1318194200942407,0.1628256839757063,0.1643569511699737,0.02427242042458787,-0.03072142513582901,-0.04895202787260392,52.294627595016706,4.989136535659867,0.5900541136041284,1.0332258373286067,106.37272956280042,6.192235980987645,6.192235980987645,-27.03169655313297,36.74808626758809,-12.714992289640465,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
375,1.0,2023-06-08 19:18:05.854672,0.7207298060825893,-9.752033806625677,1.58981335386938,-0.10981989300549026,-0.22733512526750568,0.08193706655949348,-0.029134880267083645,0.006422265842556954,-0.02114750678651035,52.294615065092465,4.989266092077318,0.9802529996261,0.9242574072551994,102.19967793797588,4.861387287300383,4.861387287300383,-26.65303924560547,38.11260780334473,-11.946926879882813,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
376,1.0,2023-06-08 19:18:10.854672,0.5487319061279298,-9.310240255737305,1.8356417633056643,-0.2679630772389472,-0.29388713979721076,0.6300810241900385,0.005015849769115448,-0.02922024853527546,-0.005798852998996153,52.29460734196897,4.989355871258152,0.777880572527647,0.9788004877025532,96.13523458772048,4.811718397426679,4.811718397426679,-26.152289123535155,39.06077156066895,-11.503919982910157,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
377,1.0,2023-06-08 19:18:15.854672,0.7201374664306642,-9.333717434692385,1.3916590301513672,-0.14226022936552768,-0.25211645550727846,0.17950553674958647,0.1819461428001523,-0.10161641266196966,-0.007186716720461846,52.29459662450728,4.989436972601079,0.4351861972361803,0.8382569956557365,101.43654873445286,4.829983280202956,4.829983280202956,-26.44758758544922,39.141091918945314,-11.443444519042968,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
378,1.0,2023-06-08 19:18:20.854672,0.7092012084960938,-9.306881240844726,1.2067186157226564,-0.10767829326242209,0.10127874523401265,-0.23747662307247516,0.015025661438703536,-0.08154964208602905,-0.07180385949090123,52.29458207154725,4.9895151003053835,0.7728755941614509,0.7929774204939457,104.28057954126852,4.835733752026087,4.835733752026087,-27.05629669189453,38.21111640930176,-13.001306762695313,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
379,1.0,2023-06-08 19:18:25.854672,0.6875951385498048,-10.162409161376953,1.5310431793212889,-0.03930297290459277,-0.1734033667802811,0.12844323465898633,-0.03221532098017633,0.11505080632865429,-0.058680151849985124,52.294576277714484,4.989600386029631,0.7874989157542587,0.9161746939823472,99.65915261744792,4.8298966263084795,4.8298966263084795,-27.10737854003906,38.812750244140624,-12.171716003417968,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
380,1.0,2023-06-08 19:18:30.854672,0.7961523925781251,-3.7949802978515628,5.339935546875,-0.005932243416199878,0.04226148128433491,0.016672958048934844,0.245322634190397,-0.2421749385491926,0.04755333481280475,52.294562167214146,4.989699448484201,0.5244192659854889,1.141755260719342,102.66908895961767,4.809198568390843,4.809198568390843,-23.292279924665177,21.938835455446828,-26.691724193339446,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
381,1.0,2023-06-08 19:18:35.854672,-5.749760658108457,0.4605738643724091,8.363133264658403,-1.0470903066873551,-0.002668246762454478,0.4745418258190155,-0.0539830980822444,0.13258651146665215,-0.1272266261279583,52.294545855037484,4.989762499243591,-0.1720002481713891,0.9504956778345142,102.90129078400301,4.813291836895426,4.813291836895426,5.467201385498047,-0.9913405990600586,-45.51359466552734,Sunny,21.0,1.0,6.0,55.0,3.0,2.0,3.0,3.0
