,count,mean,std,min,25%,50%,75%,max,median
datetime,9529.0,1686292646.4913156,31848.72744674178,1686248095.893321,1686252450.347702,1686309718.212982,1686313883.354,1686342393.84538,1686309718.212982
Acceleration x,9529.0,-0.5691827588697699,3.0879114411642368,-11.045545669555665,-0.8646170196533204,0.2753241494297981,0.986987548828125,9.326594567298889,0.2753241494297981
Acceleration y,9529.0,-1.5296474731120209,4.987413919150154,-11.306483047485353,-7.985324432373046,1.0042466583251954,2.2017775015397505,6.689648803710938,1.0042466583251954
Acceleration z,9529.0,6.597884593821734,4.067630715388065,-9.00813249206543,1.6384029235839843,9.081270360946656,9.647557800292969,15.894623756408691,9.081270360946656
Linear Acceleration x,9529.0,-0.04233974285790435,0.3184391770793949,-2.023367639243603,-0.1906516019180417,-0.02091953227669,0.1282824115319685,1.905275108456612,-0.02091953227669
Linear Acceleration y,9529.0,-0.11184278871862144,0.36876585384221683,-2.220099958062172,-0.2980322241783142,-0.1157441501095891,0.0605368949472904,2.1818792283535005,-0.1157441501095891
Linear Acceleration z,9529.0,0.043455855595605726,0.49087286907858163,-2.374062328286469,-0.2922136306762695,0.0143092184364795,0.3556616306304931,2.0877751801237463,0.0143092184364795
Gyroscope x,9529.0,-0.0009244068631256763,0.17624916929409387,-2.340600115557512,-0.0788534976076334,-0.0030466006632195,0.0736605465412139,2.1311697959899902,-0.0030466006632195
Gyroscope y,9529.0,0.0020089808375632063,0.17486386862563866,-1.7818580515682698,-0.0722257494926452,0.00171410292387,0.0771842576563358,2.503922793269157,0.00171410292387
Gyroscope z,9529.0,-0.004482998899642688,0.1675847452225036,-1.517112109065056,-0.0668808384375138,-0.0037490850314497,0.0583053693175315,1.4876421689987185,-0.0037490850314497
La,9529.0,52.34263784292972,0.03891795823554839,52.28701961238584,52.29641898560919,52.35620712,52.3597754,52.40211361877547,52.35620712
Lo,9529.0,4.934083686423512,0.03672356459282973,4.891725890141456,4.903835511456015,4.91593212,4.973239918337894,4.992385554864812,4.91593212
He,9529.0,0.6621346278997321,4.241276967696499,-19.06905594168532,-1.0680415332317352,0.0656293043866753,2.5234515257179737,38.19736616186023,0.0656293043866753
V,9529.0,1.0369840110385777,0.4244508005642153,-1.0,0.8135354532541964,1.0838430323676316,1.3600000143051147,3.5199999809265137,1.0838430323676316
D,9529.0,176.9004051342876,111.17525365255852,-1.0,78.9000015258789,163.10000610351562,270.79998779296875,359.99467072129187,163.10000610351562
Ho,9529.0,4.863562032268127,2.2819417506125785,3.790092468261719,3.790092468261719,4.8379578238283445,4.935966672932366,129.4450557039901,4.8379578238283445
VA,9529.0,4.354746455090075,2.366181916953992,1.0,2.5,4.834772839339314,4.931042922344203,129.4450557039901,4.834772839339314
Magnetic field x,9529.0,0.8516018674296665,21.654622432253046,-47.445001220703126,-16.72815055847168,-4.657500171661377,18.162809753417967,59.38945693969727,-4.657500171661377
Magnetic field y,9529.0,13.714065983325872,24.106547022909258,-67.4731601715088,-6.439970779418945,10.484517574310305,39.04576911926269,90.9750030517578,10.484517574310305
Magnetic field z,9529.0,-25.305590819994393,20.415220534987686,-75.48750228881836,-41.685001373291016,-32.98500080108643,-11.369268798828124,42.61542663574219,-32.98500080108643
Weather,9529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temperature (Celsius),9529.0,21.08059607513905,2.3903779227542254,14.0,21.0,21.0,22.0,27.0,21.0
UV index,9529.0,2.267184384510442,1.856687047485443,0.0,1.0,3.0,3.0,6.0,3.0
Wind (m/s),9529.0,5.104976387868612,0.8501994394663765,4.44,4.44,4.44,6.0,7.0,4.44
Humidity (%),9529.0,59.31241473396999,5.917152461729343,46.0,54.0,62.0,65.0,65.0,62.0
Average PACES,9529.0,2.919476073040193,0.6418519204684618,1.9375,2.375,2.75,3.625,4.0,2.75
PACES,9529.0,11.558295728827789,2.665666795177731,7.0,10.0,11.0,14.0,16.0,11.0
